"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1785628214276280628","Wed May 01 11:11:56 +0000 2024","487","KORUPSI BIANG KEROK APPLE BATAL INVESTASI PELUANG LAPANGAN KERJA HILANG BENCANA LEDAKAN BONUS DEMOGRAFI DI DEPAN MATA . . . Isu kandungan timah ilegal di Indonesia dapat meningkatkan risiko investasi dan keyakinan terhadap kepastian tata pemerintahan di Indonesia. Terdapat https://t.co/zKwPjAKx5p","1785628214276280628","https://pbs.twimg.com/media/GMfTXbLbQAAq9Ux.jpg","","in","Indonesia","29","129","232","https://twitter.com/Heraloebss/status/1785628214276280628","1251824880967774208","Heraloebss"
"1785577922050625545","Wed May 01 07:52:05 +0000 2024","0","#Meiday #Mei #PHK #Apple #Timah #timah #Babel #bangkabelitung kan kan mandegkan investasi di Indonesia gara-gara oknum-oknum yang ga jelas https://t.co/1QK9m2vPsf","1785577922050625545","https://pbs.twimg.com/media/GMelpvRaQAAkNbA.jpg","","in","","0","0","0","https://twitter.com/capesuer_/status/1785577922050625545","1457296482327928839","capesuer_"
"1785575136877543710","Wed May 01 07:41:01 +0000 2024","0","gara gara oknum yang ga bertanggung jawab nih akhirnya mandeg investasi apple di indonesia #Meiday #Mei #PHK #Apple #Timah #timah #Babel #bangkabelitung https://t.co/aL2f52ADfE","1785575136877543710","https://pbs.twimg.com/media/GMejHt1a4AAh_iU.jpg","","in","","0","0","0","https://twitter.com/forummacan775/status/1785575136877543710","1776723116070412288","forummacan775"
"1785514957721002291","Wed May 01 06:52:03 +0000 2024","0","@OcongReborn Iya... jika saja berita bahwa Apple sudah berinvestasi di Vietnam sebesar Rp 250 T tdk keluar mungkin Mukidi &amp; Menterinya berhari-hari pamer rencana investasi Apple di Indonesia.","1785562814146609466","","OcongReborn","in","","0","1","0","https://twitter.com/ebe_ganzo/status/1785562814146609466","1449222685678968837","ebe_ganzo"
"1785533160702554138","Wed May 01 04:54:13 +0000 2024","0","Waduuh pabrik Apple gajadi investasi di Indonesia padahal klo jadi harganya jauh lebih murah #Meiday #Mei #PHK #Apple #Timah #timah #Babel #bangkabelitung https://t.co/WYVMl6Xx7R","1785533160702554138","https://pbs.twimg.com/media/GMd88RTaUAAmMaa.jpg","","in","","0","0","0","https://twitter.com/dianardi222/status/1785533160702554138","1776678459412295680","dianardi222"
"1785507890666807524","Wed May 01 03:13:48 +0000 2024","1","Si bahlul kena prank Apple. Di Vietnam Apple investasi 256 Triliun. Di Indonesia Apple janji investasi 1 6 Triliun... bahlul senengnya luar biasa gelar red carpet. Ehh... udah cuma 1 6 T ternyata cuma prank ... Nasib luh Makanya jadi orang yg jujur","1785507890666807524","","","in","","0","0","0","https://twitter.com/tch0077/status/1785507890666807524","840189109150744577","tch0077"
"1785179223617110254","Tue Apr 30 15:18:43 +0000 2024","0","@CAMERALIVE6849 Kelakuan buruh begini tapi ngarep apple investasi bangun pabrik di Indonesia? Jangan ngimpi @bahlillahadalia","1785327930551464286","","CAMERALIVE6849","in","Upper East, Ghana","0","0","0","https://twitter.com/Rizieq_Sangean/status/1785327930551464286","172158648","Rizieq_Sangean"
"1785272463963631992","Tue Apr 30 11:38:18 +0000 2024","0","Microsoft dan Apple telah berinvestasi di Indonesia. Menkominfo pun ungkap daya tarik investasi teknologi di Indonesia. https://t.co/7FRrsIdBV7","1785272463963631992","","","in","Jakarta, Indonesia","0","0","0","https://twitter.com/detikinet/status/1785272463963631992","135815019","detikinet"
"1785270927309340795","Tue Apr 30 11:32:12 +0000 2024","0","Menkomnfo M.Nuh era Pres. SBY Ingatkan pemakai Hp. no.4 setelah USA Inggeris Turkey Indonesia tiap thn keluar biaya Rp.140T harusnya sejak dulu diantisipasi Menperin &amp; Menkominfo. Setelah Capres terpilih 2024 @prabowo Ungkap Hp hrs produksi di Indonesia. Baru Apple investasi.","1785270927309340795","","","in","jakarta ","0","0","0","https://twitter.com/KamarullahH/status/1785270927309340795","2898088374","KamarullahH"
"1785262830196826595","Tue Apr 30 11:00:01 +0000 2024","0","Setelah Apple berinvestasi di Indonesia. Microsoft juga investasi senilai Rp 27 6 triliun ke Indonesia. Menkominfo pun ungkap daya tarik investasi teknologi di Indonesia. Apa saja? Simak dalam video berikut! #detikinet #Apple #Microsoft #investasi #menkominfo https://t.co/tMok9tvxwP","1785262830196826595","https://pbs.twimg.com/ext_tw_video_thumb/1785241268429455360/pu/img/hs5tk09gyFtPocDi.jpg","","in","Jakarta, Indonesia","0","0","0","https://twitter.com/detikinet/status/1785262830196826595","135815019","detikinet"
"1785251845633626203","Tue Apr 30 10:16:23 +0000 2024","1","Susul Apple Microsoft Investasi di Indonesia https://t.co/oTXj2rQTlC https://t.co/bSfAUbtW34","1785251845633626203","https://pbs.twimg.com/media/GMZ9Fwma8AADkNT.jpg","","in","Indonesia","0","2","0","https://twitter.com/TotalPolitikCom/status/1785251845633626203","1234717489172369409","TotalPolitikCom"
"1785236466479821047","Tue Apr 30 09:15:16 +0000 2024","0","Alasan Investasi Microsoft 17 Kali Lipat Apple di Indonesia https://t.co/1aOstiCZhR","1785236466479821047","","","in","Jakarta","0","0","0","https://twitter.com/KATADATAcoid/status/1785236466479821047","552523769","KATADATAcoid"
"1785234037000507427","Tue Apr 30 09:05:37 +0000 2024","3","Perusahaan raksasa teknologi asal Amerika Serikat (AS) yakni Apple dan Microsoft berbondong-bondong menanamkan investasi di Indonesia https://t.co/qscpO7VneL","1785234037000507427","","","in","Jakarta","0","1","0","https://twitter.com/kompascom/status/1785234037000507427","23343960","kompascom"
"1785232358322684415","Tue Apr 30 08:58:56 +0000 2024","2","CEO Apple Tim Cook telah berkomitmen untuk berinvestasi di Indonesia sebesar Rp 1 6 triliun. Namun nilai investasi ini jauh lebih kecil dibandingkan dengan investasi Apple di Vietnam yang mencapai Rp 256 triliun dan Singapura yang mencapai Rp 4 triliun. Penulis Naskah: Soffya https://t.co/2IyFfPpYOV","1785232358322684415","https://pbs.twimg.com/amplify_video_thumb/1785232156870238208/img/280KJBYTDWvKn4QX.jpg","","in","Jakarta","0","2","0","https://twitter.com/kompascom/status/1785232358322684415","23343960","kompascom"
"1785220723247854050","Tue Apr 30 08:12:42 +0000 2024","4","Yg penting boss Apple sdh ngebacot trus disambut tepuk tangan buzzer. Selesai‍️ Soal bener apa ga atau diklarifikasi urusan nanti. Kan emang gitu mainnya Investasi Apple di Indonesia Capai Rp 1 6 Triliun Bahlil: Belum Ada Komunikasi ke Kami https://t.co/uKMqwtbpfZ","1785220723247854050","","","in","DKI Jakarta, Indonesia","0","0","0","https://twitter.com/MartinusButarb1/status/1785220723247854050","1301052979852619777","MartinusButarb1"
"1785175417181376687","Tue Apr 30 05:52:18 +0000 2024","2","@PartaiSocmed Setuju kalo mo ambil asuransi yg cover resiko saja seperti asuransi jiwa kesehatan kebakaran kehilangan kecelakaan bencana alam. Kalo investasi pilih instrumen lain asuransi bukan untuk investasi cuma di Indonesia bisa unit link","1785185386966487470","","PartaiSocmed","in","jakarta","0","0","0","https://twitter.com/elleanor12/status/1785185386966487470","557727242","elleanor12"
"1785172255364005937","Tue Apr 30 05:16:16 +0000 2024","0","@KontanNews Agenda tahunan. Gpp kan 1 Mei sudah ditetapkan sebagai Hari Buruh Nasional. Yah cuma kalau sampai dilihat masyarakat dunia wajar aja kalau Apple lebih suka investasi di Vietnam daripada di indo.","1785176322043736088","","KontanNews","in","","0","0","0","https://twitter.com/yock_sukaryono/status/1785176322043736088","3003955086","yock_sukaryono"
"1785152677825089582","Tue Apr 30 03:42:19 +0000 2024","2","Apple Kalah Jauh Cuma Rp 1 6 T Microsoft Investasi Rp 22 7 T di RI https://t.co/EixrlwLZzD","1785152677825089582","","","in","Jakarta Capital Region","0","0","0","https://twitter.com/cnbcindonesia/status/1785152677825089582","847372542830444544","cnbcindonesia"
"1784959218552049926","Mon Apr 29 14:53:35 +0000 2024","1","Bahlil Blak-blakan Belum Ada Rencana Apple Investasi di Indonesia https://t.co/2AAL0gHBVi","1784959218552049926","","","in","Jakarta Pusat, DKI Jakarta","0","0","0","https://twitter.com/SINDOnews/status/1784959218552049926","231355136","SINDOnews"
